DateTime,Gate,Ingress,Egress
2025-01-01 12:30:00,SOUTH GATE,3,2
2025-01-01 13:00:00,SOUTH GATE,2,3
2025-01-01 13:15:00,SOUTH GATE,5,5
2025-01-01 13:30:00,SOUTH GATE,4,3
2025-01-01 13:45:00,SOUTH GATE,1,1
2025-01-01 14:15:00,SOUTH GATE,1,2
2025-01-01 15:15:00,SOUTH GATE,1,1
2025-01-02 08:45:00,SOUTH GATE,30,0
2025-01-02 08:45:00,THE LIVING WORLD,21,8
2025-01-02 09:00:00,SOUTH GATE,15,1
2025-01-02 09:00:00,THE LIVING WORLD,28,5
2025-01-02 09:15:00,SOUTH GATE,28,1
2025-01-02 09:15:00,THE LIVING WORLD,44,4
2025-01-02 09:30:00,SOUTH GATE,6,1
2025-01-02 09:30:00,THE LIVING WORLD,27,3
2025-01-02 09:45:00,SOUTH GATE,18,5
2025-01-02 09:45:00,THE LIVING WORLD,28,1
2025-01-02 10:00:00,SOUTH GATE,19,2
2025-01-02 10:00:00,THE LIVING WORLD,34,8
2025-01-02 10:15:00,SOUTH GATE,41,0
2025-01-02 10:15:00,THE LIVING WORLD,41,11
2025-01-02 10:30:00,SOUTH GATE,21,0
2025-01-02 10:30:00,THE LIVING WORLD,57,11
2025-01-02 10:45:00,SOUTH GATE,39,10
2025-01-02 10:45:00,THE LIVING WORLD,58,14
2025-01-02 11:00:00,SOUTH GATE,62,13
2025-01-02 11:00:00,THE LIVING WORLD,47,10
2025-01-02 11:15:00,SOUTH GATE,45,5
2025-01-02 11:15:00,THE LIVING WORLD,56,28
2025-01-02 11:30:00,SOUTH GATE,15,6
2025-01-02 11:30:00,THE LIVING WORLD,59,30
2025-01-02 11:45:00,SOUTH GATE,60,26
2025-01-02 11:45:00,THE LIVING WORLD,71,28
2025-01-02 12:00:00,SOUTH GATE,24,27
2025-01-02 12:00:00,THE LIVING WORLD,48,35
2025-01-02 12:15:00,SOUTH GATE,35,22
2025-01-02 12:15:00,THE LIVING WORLD,42,34
2025-01-02 12:30:00,SOUTH GATE,52,13
2025-01-02 12:30:00,THE LIVING WORLD,46,32
2025-01-02 12:45:00,SOUTH GATE,40,30
2025-01-02 12:45:00,THE LIVING WORLD,56,47
2025-01-02 13:00:00,SOUTH GATE,21,27
2025-01-02 13:00:00,THE LIVING WORLD,76,55
2025-01-02 13:15:00,SOUTH GATE,27,11
2025-01-02 13:15:00,THE LIVING WORLD,55,53
2025-01-02 13:30:00,SOUTH GATE,23,49
2025-01-02 13:30:00,THE LIVING WORLD,73,66
2025-01-02 13:45:00,SOUTH GATE,34,30
2025-01-02 13:45:00,THE LIVING WORLD,88,66
2025-01-02 14:00:00,SOUTH GATE,60,47
2025-01-02 14:00:00,THE LIVING WORLD,43,58
2025-01-02 14:15:00,SOUTH GATE,36,27
2025-01-02 14:15:00,THE LIVING WORLD,50,44
2025-01-02 14:30:00,SOUTH GATE,19,43
2025-01-02 14:30:00,THE LIVING WORLD,78,57
2025-01-02 14:45:00,SOUTH GATE,6,50
2025-01-02 14:45:00,THE LIVING WORLD,44,81
2025-01-02 15:00:00,SOUTH GATE,21,31
2025-01-02 15:00:00,THE LIVING WORLD,42,57
2025-01-02 15:15:00,SOUTH GATE,9,51
2025-01-02 15:15:00,THE LIVING WORLD,39,53
2025-01-02 15:30:00,SOUTH GATE,3,47
2025-01-02 15:30:00,THE LIVING WORLD,19,69
2025-01-02 15:45:00,SOUTH GATE,0,71
2025-01-02 15:45:00,THE LIVING WORLD,8,95
2025-01-02 16:00:00,SOUTH GATE,0,146
2025-01-02 16:00:00,THE LIVING WORLD,6,188
2025-01-02 16:15:00,SOUTH GATE,0,31
2025-01-02 16:15:00,THE LIVING WORLD,7,118
2025-01-02 16:30:00,SOUTH GATE,0,4
2025-01-02 16:30:00,THE LIVING WORLD,0,25
2025-01-02 16:45:00,THE LIVING WORLD,0,10
2025-01-02 17:00:00,THE LIVING WORLD,0,6
2025-01-02 17:15:00,THE LIVING WORLD,0,1
2025-01-02 17:45:00,THE LIVING WORLD,0,1
2025-01-02 18:15:00,THE LIVING WORLD,0,2
2025-01-03 08:45:00,SOUTH GATE,12,0
2025-01-03 08:45:00,THE LIVING WORLD,16,2
2025-01-03 09:00:00,SOUTH GATE,13,1
2025-01-03 09:00:00,THE LIVING WORLD,25,3
2025-01-03 09:15:00,SOUTH GATE,12,2
2025-01-03 09:15:00,THE LIVING WORLD,21,8
2025-01-03 09:30:00,SOUTH GATE,16,0
2025-01-03 09:30:00,THE LIVING WORLD,31,0
2025-01-03 09:45:00,SOUTH GATE,6,1
2025-01-03 09:45:00,THE LIVING WORLD,30,22
2025-01-03 10:00:00,SOUTH GATE,37,8
2025-01-03 10:00:00,THE LIVING WORLD,34,4
2025-01-03 10:15:00,SOUTH GATE,14,0
2025-01-03 10:15:00,THE LIVING WORLD,39,1
2025-01-03 10:30:00,SOUTH GATE,21,11
2025-01-03 10:30:00,THE LIVING WORLD,42,13
2025-01-03 10:45:00,SOUTH GATE,14,2
2025-01-03 10:45:00,THE LIVING WORLD,25,8
2025-01-03 11:00:00,SOUTH GATE,26,1
2025-01-03 11:00:00,THE LIVING WORLD,23,11
2025-01-03 11:15:00,SOUTH GATE,17,19
2025-01-03 11:15:00,THE LIVING WORLD,53,17
2025-01-03 11:30:00,SOUTH GATE,15,7
2025-01-03 11:30:00,THE LIVING WORLD,32,20
2025-01-03 11:45:00,SOUTH GATE,18,1
2025-01-03 11:45:00,THE LIVING WORLD,45,25
2025-01-03 12:00:00,SOUTH GATE,16,24
2025-01-03 12:00:00,THE LIVING WORLD,55,45
2025-01-03 12:15:00,SOUTH GATE,12,6
2025-01-03 12:15:00,THE LIVING WORLD,53,13
2025-01-03 12:30:00,SOUTH GATE,22,13
2025-01-03 12:30:00,THE LIVING WORLD,36,30
2025-01-03 12:45:00,SOUTH GATE,18,29
2025-01-03 12:45:00,THE LIVING WORLD,57,40
2025-01-03 13:00:00,SOUTH GATE,9,28
2025-01-03 13:00:00,THE LIVING WORLD,70,52
2025-01-03 13:15:00,SOUTH GATE,30,14
2025-01-03 13:15:00,THE LIVING WORLD,54,42
2025-01-03 13:30:00,SOUTH GATE,42,11
2025-01-03 13:30:00,THE LIVING WORLD,65,31
2025-01-03 13:45:00,SOUTH GATE,21,14
2025-01-03 13:45:00,THE LIVING WORLD,64,21
2025-01-03 14:00:00,SOUTH GATE,25,9
2025-01-03 14:00:00,THE LIVING WORLD,46,46
2025-01-03 14:15:00,SOUTH GATE,13,10
2025-01-03 14:15:00,THE LIVING WORLD,46,53
2025-01-03 14:30:00,SOUTH GATE,29,25
2025-01-03 14:30:00,THE LIVING WORLD,30,56
2025-01-03 14:45:00,SOUTH GATE,16,31
2025-01-03 14:45:00,THE LIVING WORLD,36,37
2025-01-03 15:00:00,SOUTH GATE,20,28
2025-01-03 15:00:00,THE LIVING WORLD,39,69
2025-01-03 15:15:00,SOUTH GATE,12,49
2025-01-03 15:15:00,THE LIVING WORLD,25,61
2025-01-03 15:30:00,SOUTH GATE,5,45
2025-01-03 15:30:00,THE LIVING WORLD,19,70
2025-01-03 15:45:00,SOUTH GATE,24,81
2025-01-03 15:45:00,THE LIVING WORLD,9,89
2025-01-03 16:00:00,SOUTH GATE,9,72
2025-01-03 16:00:00,THE LIVING WORLD,13,186
2025-01-03 16:15:00,SOUTH GATE,4,14
2025-01-03 16:15:00,THE LIVING WORLD,4,38
2025-01-03 16:30:00,SOUTH GATE,1,3
2025-01-03 16:30:00,THE LIVING WORLD,0,11
2025-01-03 16:45:00,SOUTH GATE,5,5
2025-01-03 16:45:00,THE LIVING WORLD,0,5
2025-01-03 17:00:00,THE LIVING WORLD,0,5
2025-01-03 17:15:00,THE LIVING WORLD,0,2
2025-01-03 17:30:00,SOUTH GATE,4,0
2025-01-03 17:30:00,THE LIVING WORLD,0,2
2025-01-03 17:45:00,SOUTH GATE,6,0
2025-01-03 18:00:00,SOUTH GATE,15,0
2025-01-03 18:00:00,THE LIVING WORLD,0,1
2025-01-03 18:15:00,SOUTH GATE,7,0
2025-01-03 18:30:00,SOUTH GATE,1,1
2025-01-03 18:45:00,THE LIVING WORLD,1,2
2025-01-03 19:00:00,THE LIVING WORLD,0,1
2025-01-03 19:45:00,THE LIVING WORLD,2,2
2025-01-04 08:45:00,SOUTH GATE,4,2
2025-01-04 08:45:00,THE LIVING WORLD,11,0
2025-01-04 09:00:00,SOUTH GATE,12,1
2025-01-04 09:00:00,THE LIVING WORLD,37,2
2025-01-04 09:15:00,SOUTH GATE,4,0
2025-01-04 09:15:00,THE LIVING WORLD,17,2
2025-01-04 09:30:00,SOUTH GATE,7,2
2025-01-04 09:30:00,THE LIVING WORLD,10,0
2025-01-04 09:45:00,SOUTH GATE,7,1
2025-01-04 09:45:00,THE LIVING WORLD,17,7
2025-01-04 10:00:00,SOUTH GATE,11,4
2025-01-04 10:00:00,THE LIVING WORLD,26,5
2025-01-04 10:15:00,SOUTH GATE,16,5
2025-01-04 10:15:00,THE LIVING WORLD,18,17
2025-01-04 10:30:00,SOUTH GATE,9,6
2025-01-04 10:30:00,THE LIVING WORLD,19,13
2025-01-04 10:45:00,SOUTH GATE,9,5
2025-01-04 10:45:00,THE LIVING WORLD,28,8
2025-01-04 11:00:00,SOUTH GATE,21,7
2025-01-04 11:00:00,THE LIVING WORLD,22,11
2025-01-04 11:15:00,SOUTH GATE,1,6
2025-01-04 11:15:00,THE LIVING WORLD,10,11
2025-01-04 11:30:00,SOUTH GATE,2,4
2025-01-04 11:30:00,THE LIVING WORLD,11,18
2025-01-04 11:45:00,SOUTH GATE,20,6
2025-01-04 11:45:00,THE LIVING WORLD,10,11
2025-01-04 12:00:00,SOUTH GATE,8,5
2025-01-04 12:00:00,THE LIVING WORLD,31,18
2025-01-04 12:15:00,SOUTH GATE,13,9
2025-01-04 12:15:00,THE LIVING WORLD,20,21
2025-01-04 12:30:00,SOUTH GATE,7,4
2025-01-04 12:30:00,THE LIVING WORLD,31,22
2025-01-04 12:45:00,SOUTH GATE,17,12
2025-01-04 12:45:00,THE LIVING WORLD,23,25
2025-01-04 13:00:00,SOUTH GATE,9,11
2025-01-04 13:00:00,THE LIVING WORLD,31,23
2025-01-04 13:15:00,SOUTH GATE,19,14
2025-01-04 13:15:00,THE LIVING WORLD,29,21
2025-01-04 13:30:00,SOUTH GATE,14,17
2025-01-04 13:30:00,THE LIVING WORLD,31,42
2025-01-04 13:45:00,SOUTH GATE,10,25
2025-01-04 13:45:00,THE LIVING WORLD,35,27
2025-01-04 14:00:00,SOUTH GATE,15,9
2025-01-04 14:00:00,THE LIVING WORLD,55,47
2025-01-04 14:15:00,SOUTH GATE,22,14
2025-01-04 14:15:00,THE LIVING WORLD,36,51
2025-01-04 14:30:00,SOUTH GATE,6,15
2025-01-04 14:30:00,THE LIVING WORLD,28,31
2025-01-04 14:45:00,SOUTH GATE,6,6
2025-01-04 14:45:00,THE LIVING WORLD,20,39
2025-01-04 15:00:00,SOUTH GATE,9,24
2025-01-04 15:00:00,THE LIVING WORLD,14,34
2025-01-04 15:15:00,SOUTH GATE,7,6
2025-01-04 15:15:00,THE LIVING WORLD,16,26
2025-01-04 15:30:00,SOUTH GATE,6,17
2025-01-04 15:30:00,THE LIVING WORLD,7,41
2025-01-04 15:45:00,SOUTH GATE,0,16
2025-01-04 15:45:00,THE LIVING WORLD,5,50
2025-01-04 16:00:00,SOUTH GATE,0,37
2025-01-04 16:00:00,THE LIVING WORLD,2,96
2025-01-04 16:15:00,SOUTH GATE,1,10
2025-01-04 16:15:00,THE LIVING WORLD,0,13
2025-01-04 16:30:00,THE LIVING WORLD,1,2
2025-01-04 17:00:00,SOUTH GATE,0,2
2025-01-04 17:15:00,THE LIVING WORLD,0,1
2025-01-04 17:30:00,THE LIVING WORLD,1,1
2025-01-05 10:00:00,THE LIVING WORLD,0,3
2025-01-05 10:15:00,THE LIVING WORLD,0,5
2025-01-05 10:45:00,THE LIVING WORLD,0,2
2025-01-05 11:00:00,THE LIVING WORLD,1,0
2025-01-05 11:15:00,SOUTH GATE,2,2
2025-01-05 11:15:00,THE LIVING WORLD,0,1
2025-01-05 11:30:00,THE LIVING WORLD,2,3
2025-01-05 11:45:00,THE LIVING WORLD,1,1
2025-01-05 12:15:00,THE LIVING WORLD,0,1
2025-01-05 18:00:00,SOUTH GATE,0,1
2025-01-06 08:45:00,THE LIVING WORLD,1,0
2025-01-06 10:45:00,SOUTH GATE,7,10
2025-01-06 10:45:00,THE LIVING WORLD,0,4
2025-01-06 11:00:00,SOUTH GATE,2,2
2025-01-06 11:00:00,THE LIVING WORLD,0,5
2025-01-06 11:15:00,SOUTH GATE,7,5
2025-01-06 11:30:00,SOUTH GATE,5,0
2025-01-06 11:45:00,THE LIVING WORLD,0,1
2025-01-06 12:15:00,THE LIVING WORLD,0,5
2025-01-06 13:15:00,THE LIVING WORLD,0,1
2025-01-06 16:45:00,THE LIVING WORLD,0,1
2025-01-07 08:45:00,THE LIVING WORLD,32,19
2025-01-07 09:00:00,THE LIVING WORLD,18,9
2025-01-07 09:15:00,THE LIVING WORLD,11,6
2025-01-07 09:30:00,THE LIVING WORLD,5,3
2025-01-07 09:45:00,THE LIVING WORLD,12,4
2025-01-07 10:00:00,THE LIVING WORLD,4,2
2025-01-07 10:15:00,THE LIVING WORLD,10,3
2025-01-07 10:30:00,THE LIVING WORLD,4,6
2025-01-07 10:45:00,SOUTH GATE,0,2
2025-01-07 10:45:00,THE LIVING WORLD,2,1
2025-01-07 11:00:00,THE LIVING WORLD,3,3
2025-01-07 11:15:00,SOUTH GATE,1,1
2025-01-07 11:15:00,THE LIVING WORLD,4,5
2025-01-07 11:30:00,THE LIVING WORLD,3,2
2025-01-07 11:45:00,THE LIVING WORLD,17,18
2025-01-07 12:00:00,THE LIVING WORLD,2,6
2025-01-07 12:15:00,THE LIVING WORLD,10,4
2025-01-07 12:30:00,THE LIVING WORLD,12,7
2025-01-07 12:45:00,THE LIVING WORLD,9,2
2025-01-07 13:00:00,THE LIVING WORLD,17,12
2025-01-07 13:15:00,SOUTH GATE,1,0
2025-01-07 13:15:00,THE LIVING WORLD,5,5
2025-01-07 13:30:00,THE LIVING WORLD,11,6
2025-01-07 13:45:00,THE LIVING WORLD,18,13
2025-01-07 14:00:00,SOUTH GATE,5,4
2025-01-07 14:00:00,THE LIVING WORLD,11,6
2025-01-07 14:15:00,THE LIVING WORLD,7,5
2025-01-07 14:30:00,SOUTH GATE,1,0
2025-01-07 14:30:00,THE LIVING WORLD,19,2
2025-01-07 14:45:00,SOUTH GATE,0,2
2025-01-07 14:45:00,THE LIVING WORLD,5,13
2025-01-07 15:00:00,SOUTH GATE,1,1
2025-01-07 15:00:00,THE LIVING WORLD,9,9
2025-01-07 15:15:00,THE LIVING WORLD,17,26
2025-01-07 15:30:00,THE LIVING WORLD,21,26
2025-01-07 15:45:00,THE LIVING WORLD,5,20
2025-01-07 16:00:00,THE LIVING WORLD,5,37
2025-01-07 16:15:00,THE LIVING WORLD,2,21
2025-01-07 16:30:00,THE LIVING WORLD,1,26
2025-01-07 16:45:00,SOUTH GATE,2,2
2025-01-07 16:45:00,THE LIVING WORLD,0,10
2025-01-07 17:00:00,SOUTH GATE,1,1
2025-01-07 17:00:00,THE LIVING WORLD,1,8
2025-01-07 17:15:00,THE LIVING WORLD,0,2
2025-01-07 17:30:00,THE LIVING WORLD,0,1
2025-01-07 17:45:00,THE LIVING WORLD,0,1
2025-01-07 18:45:00,SOUTH GATE,1,1
2025-01-08 08:45:00,THE LIVING WORLD,38,4
2025-01-08 09:00:00,THE LIVING WORLD,30,5
2025-01-08 09:15:00,THE LIVING WORLD,20,1
2025-01-08 09:30:00,THE LIVING WORLD,12,3
2025-01-08 09:45:00,THE LIVING WORLD,10,4
2025-01-08 10:00:00,THE LIVING WORLD,7,0
2025-01-08 10:15:00,THE LIVING WORLD,18,5
2025-01-08 10:30:00,THE LIVING WORLD,11,2
2025-01-08 10:45:00,SOUTH GATE,2,1
2025-01-08 10:45:00,THE LIVING WORLD,8,5
2025-01-08 11:00:00,SOUTH GATE,1,0
2025-01-08 11:00:00,THE LIVING WORLD,7,1
2025-01-08 11:15:00,THE LIVING WORLD,10,20
2025-01-08 11:30:00,THE LIVING WORLD,30,18
2025-01-08 11:45:00,SOUTH GATE,2,2
2025-01-08 11:45:00,THE LIVING WORLD,10,8
2025-01-08 12:00:00,THE LIVING WORLD,20,8
2025-01-08 12:15:00,SOUTH GATE,3,5
2025-01-08 12:15:00,THE LIVING WORLD,22,9
2025-01-08 12:30:00,SOUTH GATE,1,1
2025-01-08 12:30:00,THE LIVING WORLD,15,11
2025-01-08 12:45:00,SOUTH GATE,1,1
2025-01-08 12:45:00,THE LIVING WORLD,11,14
2025-01-08 13:00:00,SOUTH GATE,3,3
2025-01-08 13:00:00,THE LIVING WORLD,15,17
2025-01-08 13:15:00,SOUTH GATE,1,2
2025-01-08 13:15:00,THE LIVING WORLD,9,10
2025-01-08 13:30:00,SOUTH GATE,0,4
2025-01-08 13:30:00,THE LIVING WORLD,7,9
2025-01-08 13:45:00,SOUTH GATE,2,1
2025-01-08 13:45:00,THE LIVING WORLD,11,15
2025-01-08 14:00:00,SOUTH GATE,6,1
2025-01-08 14:00:00,THE LIVING WORLD,16,15
2025-01-08 14:15:00,SOUTH GATE,11,5
2025-01-08 14:15:00,THE LIVING WORLD,5,15
2025-01-08 14:30:00,THE LIVING WORLD,24,17
2025-01-08 14:45:00,THE LIVING WORLD,15,14
2025-01-08 15:00:00,THE LIVING WORLD,10,21
2025-01-08 15:15:00,THE LIVING WORLD,4,19
2025-01-08 15:30:00,SOUTH GATE,1,2
2025-01-08 15:30:00,THE LIVING WORLD,10,19
2025-01-08 15:45:00,THE LIVING WORLD,3,24
2025-01-08 16:00:00,THE LIVING WORLD,8,69
2025-01-08 16:15:00,THE LIVING WORLD,0,34
2025-01-08 16:30:00,SOUTH GATE,2,2
2025-01-08 16:30:00,THE LIVING WORLD,7,41
2025-01-08 16:45:00,THE LIVING WORLD,1,17
2025-01-08 17:00:00,THE LIVING WORLD,0,14
2025-01-08 17:15:00,THE LIVING WORLD,0,8
2025-01-08 17:30:00,THE LIVING WORLD,0,1
2025-01-08 17:45:00,THE LIVING WORLD,0,1
2025-01-08 18:00:00,THE LIVING WORLD,0,1
2025-01-09 08:45:00,THE LIVING WORLD,23,7
2025-01-09 09:00:00,SOUTH GATE,1,0
2025-01-09 09:00:00,THE LIVING WORLD,25,2
2025-01-09 09:15:00,THE LIVING WORLD,22,5
2025-01-09 09:30:00,SOUTH GATE,1,0
2025-01-09 09:30:00,THE LIVING WORLD,17,25
2025-01-09 09:45:00,THE LIVING WORLD,15,5
2025-01-09 10:00:00,SOUTH GATE,1,0
2025-01-09 10:00:00,THE LIVING WORLD,19,4
2025-01-09 10:15:00,SOUTH GATE,3,2
2025-01-09 10:15:00,THE LIVING WORLD,8,6
2025-01-09 10:30:00,THE LIVING WORLD,34,6
2025-01-09 10:45:00,THE LIVING WORLD,9,4
2025-01-09 11:00:00,THE LIVING WORLD,5,5
2025-01-09 11:15:00,THE LIVING WORLD,6,2
2025-01-09 11:30:00,SOUTH GATE,0,1
2025-01-09 11:30:00,THE LIVING WORLD,16,7
2025-01-09 11:45:00,SOUTH GATE,1,1
2025-01-09 11:45:00,THE LIVING WORLD,15,12
2025-01-09 12:00:00,THE LIVING WORLD,17,7
2025-01-09 12:15:00,SOUTH GATE,0,2
2025-01-09 12:15:00,THE LIVING WORLD,23,10
2025-01-09 12:30:00,THE LIVING WORLD,22,25
2025-01-09 12:45:00,THE LIVING WORLD,17,26
2025-01-09 13:00:00,SOUTH GATE,1,1
2025-01-09 13:00:00,THE LIVING WORLD,11,4
2025-01-09 13:15:00,SOUTH GATE,2,1
2025-01-09 13:15:00,THE LIVING WORLD,22,18
2025-01-09 13:30:00,SOUTH GATE,1,1
2025-01-09 13:30:00,THE LIVING WORLD,21,17
2025-01-09 13:45:00,SOUTH GATE,0,2
2025-01-09 13:45:00,THE LIVING WORLD,26,18
2025-01-09 14:00:00,SOUTH GATE,1,0
2025-01-09 14:00:00,THE LIVING WORLD,27,11
2025-01-09 14:15:00,THE LIVING WORLD,9,23
2025-01-09 14:30:00,SOUTH GATE,0,1
2025-01-09 14:30:00,THE LIVING WORLD,14,7
2025-01-09 14:45:00,THE LIVING WORLD,7,14
2025-01-09 15:00:00,THE LIVING WORLD,13,25
2025-01-09 15:15:00,THE LIVING WORLD,8,53
2025-01-09 15:30:00,SOUTH GATE,0,1
2025-01-09 15:30:00,THE LIVING WORLD,1,18
2025-01-09 15:45:00,THE LIVING WORLD,5,22
2025-01-09 16:00:00,SOUTH GATE,2,2
2025-01-09 16:00:00,THE LIVING WORLD,9,72
2025-01-09 16:15:00,SOUTH GATE,0,1
2025-01-09 16:15:00,THE LIVING WORLD,3,17
2025-01-09 16:30:00,THE LIVING WORLD,0,33
2025-01-09 16:45:00,THE LIVING WORLD,1,21
2025-01-09 17:00:00,THE LIVING WORLD,4,15
2025-01-09 17:15:00,SOUTH GATE,1,1
2025-01-09 17:15:00,THE LIVING WORLD,5,6
2025-01-09 17:30:00,THE LIVING WORLD,7,3
2025-01-09 17:45:00,THE LIVING WORLD,2,6
2025-01-09 18:00:00,THE LIVING WORLD,1,1
2025-01-09 18:15:00,THE LIVING WORLD,1,0
2025-01-09 19:45:00,THE LIVING WORLD,1,1
2025-01-10 08:45:00,THE LIVING WORLD,2,0
2025-01-10 09:00:00,THE LIVING WORLD,1,1
2025-01-10 09:15:00,THE LIVING WORLD,0,4
2025-01-10 09:30:00,THE LIVING WORLD,0,3
2025-01-10 09:45:00,THE LIVING WORLD,0,6
2025-01-10 10:00:00,SOUTH GATE,1,1
2025-01-10 10:00:00,THE LIVING WORLD,0,6
2025-01-10 10:15:00,SOUTH GATE,1,0
2025-01-10 10:30:00,THE LIVING WORLD,9,7
2025-01-10 10:45:00,THE LIVING WORLD,0,9
2025-01-10 11:00:00,THE LIVING WORLD,4,2
2025-01-10 11:15:00,THE LIVING WORLD,1,1
2025-01-10 11:30:00,THE LIVING WORLD,0,9
2025-01-10 12:30:00,SOUTH GATE,2,3
2025-01-10 12:45:00,SOUTH GATE,1,1
2025-01-10 13:30:00,SOUTH GATE,1,1
2025-01-10 13:45:00,SOUTH GATE,1,1
2025-01-10 14:00:00,SOUTH GATE,1,1
2025-01-10 14:00:00,THE LIVING WORLD,1,0
2025-01-10 14:15:00,SOUTH GATE,0,1
2025-01-10 14:30:00,SOUTH GATE,1,1
2025-01-10 14:45:00,SOUTH GATE,1,0
2025-01-10 14:45:00,THE LIVING WORLD,0,1
2025-01-10 15:15:00,SOUTH GATE,0,1
2025-01-11 08:45:00,SOUTH GATE,4,0
2025-01-11 08:45:00,THE LIVING WORLD,21,5
2025-01-11 09:00:00,SOUTH GATE,1,0
2025-01-11 09:00:00,THE LIVING WORLD,18,4
2025-01-11 09:15:00,SOUTH GATE,2,1
2025-01-11 09:15:00,THE LIVING WORLD,24,2
2025-01-11 09:30:00,SOUTH GATE,6,1
2025-01-11 09:30:00,THE LIVING WORLD,21,0
2025-01-11 09:45:00,SOUTH GATE,17,0
2025-01-11 09:45:00,THE LIVING WORLD,23,2
2025-01-11 10:00:00,SOUTH GATE,1,4
2025-01-11 10:00:00,THE LIVING WORLD,20,4
2025-01-11 10:15:00,SOUTH GATE,11,4
2025-01-11 10:15:00,THE LIVING WORLD,18,6
2025-01-11 10:30:00,SOUTH GATE,10,4
2025-01-11 10:30:00,THE LIVING WORLD,42,10
2025-01-11 10:45:00,SOUTH GATE,0,2
2025-01-11 10:45:00,THE LIVING WORLD,39,14
2025-01-11 11:00:00,SOUTH GATE,12,8
2025-01-11 11:00:00,THE LIVING WORLD,26,9
2025-01-11 11:15:00,SOUTH GATE,11,3
2025-01-11 11:15:00,THE LIVING WORLD,44,19
2025-01-11 11:30:00,SOUTH GATE,22,4
2025-01-11 11:30:00,THE LIVING WORLD,27,24
2025-01-11 11:45:00,SOUTH GATE,9,12
2025-01-11 11:45:00,THE LIVING WORLD,43,28
2025-01-11 12:00:00,SOUTH GATE,9,7
